Estructura,Tamaño,Segundos,Bytes
SA + LCP,5000000,3217,79999992
SA + LCP,5000000,3223,79999992
SA + LCP,5000000,3203,79999992
SA + LCP,5000000,3213,79999992
SA + LCP,5000000,3230,79999992
SA + LCP,5000000,3227,79999992
SA + LCP,5000000,3233,79999992
SA + LCP,5000000,3203,79999992
SA + LCP,5000000,3196,79999992
SA + LCP,5000000,3204,79999992
SA + LCP,5000000,3187,79999992
SA + LCP,5000000,3179,79999992
SA + LCP,5000000,3179,79999992
SA + LCP,5000000,3176,79999992
SA + LCP,5000000,3205,79999992
SA + LCP,5000000,3193,79999992
SA + LCP,5000000,3170,79999992
SA + LCP,5000000,3206,79999992
SA + LCP,5000000,3224,79999992
SA + LCP,5000000,3217,79999992
SA + LCP,5000000,3210,79999992
SA + LCP,5000000,3213,79999992
SA + LCP,5000000,3207,79999992
SA + LCP,5000000,3205,79999992
SA + LCP,5000000,3226,79999992
SA + LCP,5000000,3237,79999992
SA + LCP,5000000,3226,79999992
SA + LCP,5000000,3217,79999992
SA + LCP,5000000,3206,79999992
SA + LCP,5000000,3218,79999992
SA + LCP,5000000,3234,79999992
SA + LCP,5000000,3206,79999992
SA + LCP,5000000,3205,79999992
SA + LCP,5000000,3215,79999992
SA + LCP,5000000,3208,79999992
SA + LCP,5000000,3215,79999992
SA + LCP,5000000,3198,79999992
SA + LCP,5000000,3197,79999992
SA + LCP,5000000,3202,79999992
SA + LCP,5000000,3255,79999992
SA + LCP,5000000,3233,79999992
SA + LCP,5000000,3206,79999992
SA + LCP,5000000,3205,79999992
SA + LCP,5000000,3205,79999992
SA + LCP,5000000,3215,79999992
SA + LCP,5000000,3217,79999992
SA + LCP,5000000,3218,79999992
SA + LCP,5000000,3210,79999992
SA + LCP,5000000,3223,79999992
SA + LCP,5000000,3174,79999992
SA + LCP,5000000,3184,79999992
SA + LCP,5000000,3178,79999992
SA + LCP,5000000,3186,79999992
SA + LCP,5000000,3185,79999992
SA + LCP,5000000,3193,79999992
SA + LCP,5000000,3210,79999992
SA + LCP,5000000,3261,79999992
SA + LCP,5000000,3233,79999992
SA + LCP,5000000,3226,79999992
SA + LCP,5000000,3194,79999992
SA + LCP,5000000,3207,79999992
SA + LCP,5000000,3193,79999992
SA + LCP,5000000,3212,79999992
SA + LCP,5000000,3214,79999992
SA + LCP,5000000,3213,79999992
SA + LCP,5000000,3216,79999992
SA + LCP,5000000,3209,79999992
SA + LCP,5000000,3208,79999992
SA + LCP,5000000,3196,79999992
SA + LCP,5000000,3182,79999992
SA + LCP,5000000,3178,79999992
SA + LCP,5000000,3198,79999992
SA + LCP,5000000,3181,79999992
SA + LCP,5000000,3199,79999992
SA + LCP,5000000,3213,79999992
SA + LCP,5000000,3196,79999992
SA + LCP,5000000,3221,79999992
SA + LCP,5000000,3209,79999992
SA + LCP,5000000,3204,79999992
SA + LCP,5000000,3243,79999992
SA + LCP,5000000,3190,79999992
SA + LCP,5000000,3187,79999992
SA + LCP,5000000,3195,79999992
SA + LCP,5000000,3184,79999992
SA + LCP,5000000,3183,79999992
SA + LCP,5000000,3188,79999992
SA + LCP,5000000,3171,79999992
SA + LCP,5000000,3168,79999992
SA + LCP,5000000,3162,79999992
SA + LCP,5000000,3172,79999992
SA + LCP,5000000,3152,79999992
SA + LCP,5000000,3152,79999992
SA + LCP,5000000,3188,79999992
SA + LCP,5000000,3194,79999992
SA + LCP,5000000,3252,79999992
SA + LCP,5000000,3185,79999992
SA + LCP,5000000,3189,79999992
SA + LCP,6000000,3708,95999992
SA + LCP,6000000,3704,95999992
SA + LCP,6000000,3719,95999992
SA + LCP,6000000,3695,95999992
SA + LCP,6000000,3715,95999992
SA + LCP,6000000,3700,95999992
SA + LCP,6000000,3697,95999992
SA + LCP,6000000,3685,95999992
SA + LCP,6000000,3685,95999992
SA + LCP,6000000,3694,95999992
SA + LCP,6000000,3726,95999992
SA + LCP,6000000,3700,95999992
SA + LCP,6000000,3712,95999992
SA + LCP,6000000,3693,95999992
SA + LCP,6000000,3687,95999992
SA + LCP,6000000,3682,95999992
SA + LCP,6000000,3698,95999992
SA + LCP,6000000,3712,95999992
SA + LCP,6000000,3709,95999992
SA + LCP,6000000,3675,95999992
SA + LCP,6000000,3669,95999992
SA + LCP,6000000,3658,95999992
SA + LCP,6000000,3679,95999992
SA + LCP,6000000,3661,95999992
SA + LCP,6000000,3630,95999992
SA + LCP,6000000,3635,95999992
SA + LCP,6000000,3662,95999992
SA + LCP,6000000,3687,95999992
SA + LCP,6000000,3683,95999992
SA + LCP,6000000,3715,95999992
SA + LCP,6000000,3714,95999992
SA + LCP,6000000,3707,95999992
SA + LCP,6000000,3707,95999992
SA + LCP,6000000,3695,95999992
SA + LCP,6000000,3705,95999992
SA + LCP,6000000,3721,95999992
SA + LCP,6000000,3688,95999992
SA + LCP,6000000,3701,95999992
SA + LCP,6000000,3704,95999992
SA + LCP,6000000,3711,95999992
SA + LCP,6000000,3709,95999992
SA + LCP,6000000,3704,95999992
SA + LCP,6000000,3713,95999992
SA + LCP,6000000,3710,95999992
SA + LCP,6000000,3713,95999992
SA + LCP,6000000,3718,95999992
SA + LCP,6000000,3723,95999992
SA + LCP,6000000,3706,95999992
SA + LCP,6000000,3695,95999992
SA + LCP,6000000,3683,95999992
SA + LCP,6000000,3686,95999992
SA + LCP,6000000,3692,95999992
SA + LCP,6000000,3716,95999992
SA + LCP,6000000,3707,95999992
SA + LCP,6000000,3729,95999992
SA + LCP,6000000,3707,95999992
SA + LCP,6000000,3703,95999992
