Estructura,Segundos,Bytes
FMI,8000000,1923,2095369
FMI,8000000,1902,2095369
FMI,8000000,1955,2095369
FMI,8000000,1901,2095369
FMI,8000000,1897,2095369
FMI,8000000,1894,2095369
FMI,8000000,1946,2095369
FMI,8000000,1896,2095369
FMI,8000000,1937,2095369
FMI,8000000,1925,2095369
FMI,8000000,1916,2095369
FMI,8000000,1958,2095369
FMI,8000000,1897,2095369
FMI,8000000,1891,2095369
FMI,8000000,1906,2095369
FMI,8000000,1961,2095369
FMI,8000000,1900,2095369
FMI,8000000,1958,2095369
FMI,8000000,1916,2095369
FMI,8000000,1896,2095369
FMI,8000000,1946,2095369
FMI,8000000,1922,2095369
FMI,8000000,1928,2095369
FMI,8000000,1914,2095369
FMI,8000000,1969,2095369
FMI,8000000,1861,2095369
FMI,8000000,1939,2095369
FMI,8000000,1881,2095369
FMI,8000000,1880,2095369
FMI,8000000,1913,2095369
FMI,8000000,1864,2095369
FMI,8000000,1966,2095369
FMI,8000000,1858,2095369
FMI,8000000,1916,2095369
FMI,8000000,1939,2095369
FMI,8000000,1937,2095369
FMI,8000000,1911,2095369
FMI,8000000,1961,2095369
FMI,8000000,1937,2095369
FMI,8000000,1891,2095369
FMI,8000000,1830,2095369
FMI,8000000,1857,2095369
FMI,9000000,2219,2355137
FMI,9000000,2262,2355137
FMI,9000000,2220,2355137
FMI,9000000,2190,2355137
FMI,9000000,2151,2355137
FMI,9000000,2179,2355137
FMI,9000000,2171,2355137
FMI,9000000,2167,2355137
FMI,9000000,2253,2355137
FMI,9000000,2193,2355137
FMI,9000000,2272,2355137
FMI,9000000,2232,2355137
FMI,9000000,2236,2355137
FMI,9000000,2261,2355137
FMI,9000000,2252,2355137
FMI,9000000,2215,2355137
FMI,9000000,2274,2355137
FMI,9000000,2274,2355137
FMI,9000000,2237,2355137
FMI,9000000,2275,2355137
FMI,9000000,2268,2355137
FMI,9000000,2294,2355137
FMI,9000000,2280,2355137
FMI,9000000,2236,2355137
FMI,9000000,2282,2355137
FMI,9000000,2270,2355137
FMI,9000000,2310,2355137
FMI,9000000,2274,2355137
FMI,9000000,2340,2355137
FMI,9000000,2243,2355137
FMI,9000000,2312,2355137
FMI,9000000,2284,2355137
FMI,9000000,2282,2355137
FMI,9000000,2266,2355137
FMI,9000000,2284,2355137
FMI,9000000,2313,2355137
FMI,9000000,2289,2355137
FMI,9000000,2300,2355137
FMI,9000000,2271,2355137
FMI,9000000,2318,2355137
FMI,9000000,2288,2355137
FMI,9000000,2299,2355137
FMI,9000000,2255,2355137
FMI,9000000,2311,2355137
FMI,9000000,2301,2355137
FMI,9000000,2287,2355137
FMI,9000000,2291,2355137
FMI,9000000,2289,2355137
FMI,9000000,2281,2355137
FMI,9000000,2239,2355137
FMI,9000000,2289,2355137
FMI,9000000,2321,2355137
FMI,9000000,2264,2355137
FMI,9000000,2220,2355137
FMI,9000000,2229,2355137
FMI,9000000,2255,2355137
FMI,9000000,2231,2355137
FMI,9000000,2227,2355137
FMI,9000000,2213,2355137
FMI,9000000,2229,2355137
FMI,9000000,2200,2355137
FMI,9000000,2245,2355137
FMI,9000000,2251,2355137
FMI,9000000,2262,2355137
FMI,9000000,2295,2355137
FMI,9000000,2269,2355137
FMI,9000000,2333,2355137
FMI,9000000,2301,2355137
FMI,9000000,2278,2355137
FMI,9000000,2271,2355137
FMI,9000000,2281,2355137
FMI,9000000,2326,2355137
FMI,9000000,2286,2355137
FMI,9000000,2281,2355137
FMI,9000000,2279,2355137
FMI,9000000,2213,2355137
FMI,9000000,2169,2355137
FMI,9000000,2095,2355137
FMI,9000000,2148,2355137
FMI,9000000,2119,2355137
FMI,9000000,2183,2355137
FMI,9000000,2119,2355137
FMI,9000000,2146,2355137
FMI,9000000,2157,2355137
FMI,9000000,2098,2355137
FMI,9000000,2193,2355137
FMI,9000000,2187,2355137
FMI,9000000,2162,2355137
FMI,9000000,2151,2355137
FMI,9000000,2190,2355137
FMI,9000000,2264,2355137
FMI,9000000,2186,2355137
FMI,9000000,2156,2355137
FMI,9000000,2236,2355137
FMI,9000000,2214,2355137
FMI,9000000,2134,2355137
FMI,9000000,2190,2355137
FMI,9000000,2156,2355137
FMI,9000000,2212,2355137
FMI,9000000,2150,2355137
FMI,10000000,2514,2603393
FMI,10000000,2518,2603393
FMI,10000000,2508,2603393
FMI,10000000,2542,2603393
FMI,10000000,2495,2603393
FMI,10000000,2456,2603393
FMI,10000000,2444,2603393
FMI,10000000,2460,2603393
FMI,10000000,2448,2603393
FMI,10000000,2458,2603393
FMI,10000000,2449,2603393
FMI,10000000,2445,2603393
FMI,10000000,2477,2603393
FMI,10000000,2487,2603393
FMI,10000000,2504,2603393
FMI,10000000,2576,2603393
FMI,10000000,2480,2603393
FMI,10000000,2510,2603393
FMI,10000000,2463,2603393
FMI,10000000,2474,2603393
FMI,10000000,2481,2603393
FMI,10000000,2506,2603393
FMI,10000000,2533,2603393
FMI,10000000,2644,2603393
FMI,10000000,2610,2603393
FMI,10000000,2598,2603393
FMI,10000000,2644,2603393
FMI,10000000,2607,2603393
FMI,10000000,2614,2603393
FMI,10000000,2625,2603393
FMI,10000000,2632,2603393
FMI,10000000,2605,2603393
FMI,10000000,2628,2603393
FMI,10000000,2556,2603393
FMI,10000000,2618,2603393
FMI,10000000,2515,2603393
FMI,10000000,2571,2603393
FMI,10000000,2598,2603393
FMI,10000000,2573,2603393
FMI,10000000,2557,2603393
FMI,10000000,2589,2603393
FMI,10000000,2543,2603393
FMI,10000000,2591,2603393
FMI,10000000,2554,2603393
FMI,10000000,2599,2603393
FMI,10000000,2612,2603393
FMI,10000000,2571,2603393
FMI,10000000,2720,2603393
FMI,10000000,2641,2603393
FMI,10000000,2607,2603393
FMI,10000000,2625,2603393
FMI,10000000,2552,2603393
FMI,10000000,2534,2603393
FMI,10000000,2531,2603393
FMI,10000000,2556,2603393
FMI,10000000,2544,2603393
FMI,10000000,2572,2603393
FMI,10000000,2552,2603393
FMI,10000000,2563,2603393
FMI,10000000,2538,2603393
FMI,10000000,2619,2603393
FMI,10000000,2557,2603393
FMI,10000000,2641,2603393
FMI,10000000,2588,2603393
FMI,10000000,2648,2603393
FMI,10000000,2600,2603393
FMI,10000000,2622,2603393
FMI,10000000,2610,2603393
FMI,10000000,2644,2603393
FMI,10000000,2605,2603393
FMI,10000000,2707,2603393
FMI,10000000,2588,2603393
FMI,10000000,2622,2603393
FMI,10000000,2642,2603393
FMI,10000000,2625,2603393
FMI,10000000,2600,2603393
FMI,10000000,2645,2603393
FMI,10000000,2599,2603393
FMI,10000000,2657,2603393
FMI,10000000,2634,2603393
FMI,10000000,2618,2603393
